"","type","by","post_id","post_link","post_message","picture","full_picture","link","link_domain","post_published","post_published_unix","post_published_sql","likes_count_fb","comments_count_fb","reactions_count_fb","shares_count_fb","engagement_fb","source"
"11","video","post_page_889307941125736","889307941125736_1323004387756087","https://www.facebook.com/889307941125736/posts/1323004387756087"," Les pido que elijan  compatriotas  a esta luchadora  a esta mujer de Estado  a esta madre... Nuestra próxima presidenta de los Estados Unidos de América ¡Hillary Clinton!  —Presidente Obama hillaryclinton.com/buscador","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992267_1323010487755477_8625193103814295552_n.jpg?oh=bbf1c51e677d32ae516da79f9d073d74&oe=5AA36AD0","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992267_1323010487755477_8625193103814295552_n.jpg?oh=d5c74f01223f35d23abc494846189d9e&oe=5AA839F2","https://www.facebook.com/hillaryclinton/videos/1323004387756087/","facebook.com","2016-11-08T22:05:28+0000",1478642728,"2016-11-08 23:05:28",47931,6589,59155,6401,72145,"Hillary Clinton"
"12","link","post_page_889307941125736","889307941125736_1322849854438207","https://www.facebook.com/889307941125736/posts/1322849854438207","Our neighbors in battleground states need your help. Make calls right from your phone to remind fellow Hillary supporters to go vote:","https://external.xx.fbcdn.net/safe_image.php?d=AQCuqcztbMonML_K&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F06-cta%2Fmake-calls%2Fmake-calls-02-fb-share.jpg&cfs=1&sx=243&sy=0&sw=627&sh=627&_nc_hash=AQBvGa25lXCS7CKS","https://external.xx.fbcdn.net/safe_image.php?d=AQA95SszTB0cx1eL&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F06-cta%2Fmake-calls%2Fmake-calls-02-fb-share.jpg&_nc_hash=AQAeUMB4R9NsJNmc","http://hillaryclinton.com/calls","hillaryclinton.com","2016-11-08T21:00:00+0000",1478638800,"2016-11-08 22:00:00",11945,3455,13427,454,17336,"Hillary Clinton"
"13","link","post_page_889307941125736","889307941125736_1322830897773436","https://www.facebook.com/889307941125736/posts/1322830897773436","Today s the day when we show how much stronger we are together. Once you’ve voted  sign up for a volunteer shift:","https://external.xx.fbcdn.net/safe_image.php?d=AQC57L74XKwKFwPB&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F11-organizing%2F02-get-started%2Fget-started-fb-share.png&cfs=1&sx=503&sy=0&sw=627&sh=627&_nc_hash=AQDjyAE7-S5MmoI3","https://external.xx.fbcdn.net/safe_image.php?d=AQC77h0xxcbgWb60&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F11-organizing%2F02-get-started%2Fget-started-fb-share.png&_nc_hash=AQDRk7UrTxl5x0fW","http://hillaryclinton.com/gotv","hillaryclinton.com","2016-11-08T19:58:56+0000",1478635136,"2016-11-08 20:58:56",20970,4277,24075,1028,29380,"Hillary Clinton"
"14","link","post_page_889307941125736","889307941125736_1322742257782300","https://www.facebook.com/889307941125736/posts/1322742257782300","It s going to be close  and we need you on this team. Confirm where to vote today:","https://external.xx.fbcdn.net/safe_image.php?d=AQC1HpnbjaDquHtW&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F11-organizing%2F18-hfa-vote%2Flocate-hfa-en-share-fb.png&cfs=1&_nc_hash=AQBiS3VFAaPO5faJ","https://external.xx.fbcdn.net/safe_image.php?d=AQBM0YTmqjy4Hsxc&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F11-organizing%2F18-hfa-vote%2Flocate-hfa-en-share-fb.png&_nc_hash=AQBhxt3ZRBuvP9cY","http://hillaryclinton.com/locate","hillaryclinton.com","2016-11-08T18:59:37+0000",1478631577,"2016-11-08 19:59:37",8964,3327,10075,369,13771,"Hillary Clinton"
"15","photo","post_page_889307941125736","889307941125736_1322677101122149","https://www.facebook.com/889307941125736/posts/1322677101122149","If you’ve already voted  jump on the phone and remind voters in key battleground states to go vote: hillaryclinton.com/calls","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/15032211_1322677101122149_8004399789185850410_n.jpg?oh=2708e63fedeeb4e99d36885f366e7d65&oe=5A9962F3","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/15032211_1322677101122149_8004399789185850410_n.jpg?oh=0e581109a59fa6fc086a6c92f5840adf&oe=5A9CECE6","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322677101122149/?type=3","facebook.com","2016-11-08T18:20:25+0000",1478629225,"2016-11-08 19:20:25",29081,3977,32460,1690,38127,"Hillary Clinton"
"16","video","post_page_889307941125736","889307941125736_1322536014469591","https://www.facebook.com/889307941125736/posts/1322536014469591"," I am asking you to elect...this fighter  this mother  this grandmother  this patriot—our next president of the United States of America  Hillary Clinton!  —President Obama hillaryclinton.com/locate","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992309_1322539064469286_22557649274929152_n.jpg?oh=044ad0e2a4dc6d68c5e7890a6cf4f142&oe=5AD65193","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992309_1322539064469286_22557649274929152_n.jpg?oh=4b28e16177012a1327f942fb79175bf4&oe=5A8917D6","https://www.facebook.com/hillaryclinton/videos/1322536014469591/","facebook.com","2016-11-08T17:12:15+0000",1478625135,"2016-11-08 18:12:15",82770,6778,98096,13996,118870,"Hillary Clinton"
"17","link","post_page_889307941125736","889307941125736_1322455081144351","https://www.facebook.com/889307941125736/posts/1322455081144351","Already voted? That s great! Now help Hillary win by signing up to make calls now:","https://external.xx.fbcdn.net/safe_image.php?d=AQAFsWPkefsZgFSo&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F05-feed%2F06-Nov%2F07-eday-make-calls%2Feday-make-calls-feed-fb-share.jpg&cfs=1&sx=0&sy=0&sw=627&sh=627&_nc_hash=AQBlAgKYGZYv_JQ9","https://external.xx.fbcdn.net/safe_image.php?d=AQC6kxixRalVkMNS&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F05-feed%2F06-Nov%2F07-eday-make-calls%2Feday-make-calls-feed-fb-share.jpg&_nc_hash=AQDLqzNPlYNrmtaZ","http://hrc.io/2fw0fAk","hrc.io","2016-11-08T16:19:17+0000",1478621957,"2016-11-08 17:19:17",14700,3388,16451,883,20722,"Hillary Clinton"
"18","photo","post_page_889307941125736","889307941125736_1322391901150669","https://www.facebook.com/889307941125736/posts/1322391901150669","Happy Election Day! hillaryclinton.com/locate","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14925377_1322391901150669_51152604442215155_n.jpg?oh=65a91d3b623667d3bc801a4102841bab&oe=5A8F4B48","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14925377_1322391901150669_51152604442215155_n.jpg?oh=56d27aba79a987b12a95b529b4743936&oe=5A9657BF","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322391901150669/?type=3","facebook.com","2016-11-08T15:31:54+0000",1478619114,"2016-11-08 16:31:54",215560,8367,245158,9673,263198,"Hillary Clinton"
"19","link","post_page_889307941125736","889307941125736_1322346901155169","https://www.facebook.com/889307941125736/posts/1322346901155169","Today s the day when we show how much stronger we are together. Once you’ve voted  sign up for a volunteer shift: hillaryclinton.com/gotv","https://external.xx.fbcdn.net/safe_image.php?d=AQBK6jNwWO0N5PXm&w=130&h=130&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2F3oz8xYhKPrd8I6Xedq%2Fgiphy.gif&cfs=1&_nc_hash=AQAGJBC4zLhZ39Yv","https://external.xx.fbcdn.net/safe_image.php?d=AQBD_lktjGCeTeuP&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2F3oz8xYhKPrd8I6Xedq%2Fgiphy.gif&_nc_hash=AQAwwjQaBO09yYPx","http://gph.is/2fBdwGs","gph.is","2016-11-08T15:05:48+0000",1478617548,"2016-11-08 16:05:48",9843,2549,11176,491,14216,"Hillary Clinton"
"20","photo","post_page_889307941125736","889307941125736_1322301641159695","https://www.facebook.com/889307941125736/posts/1322301641159695","Todo por lo que hemos trabajado se decide hoy. Comparte esto si apoyas a Hillary: hillaryclinton.com/buscador","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14963196_1322301641159695_9014012927430580228_n.jpg?oh=f4c208ce430bab23e838229153474ad3&oe=5AA7A380","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14963196_1322301641159695_9014012927430580228_n.jpg?oh=6ff4c198107230186e08215a8810b85a&oe=5A90EC95","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322301641159695/?type=3","facebook.com","2016-11-08T14:40:42+0000",1478616042,"2016-11-08 15:40:42",99584,6284,114360,28066,148710,"Hillary Clinton"
"21","photo","post_page_889307941125736","889307941125736_1322225667833959","https://www.facebook.com/889307941125736/posts/1322225667833959","Everything we’ve worked toward comes down to today. Share this if you re voting for Hillary: hillaryclinton.com/locate","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14937469_1322225667833959_2412710017169558184_n.jpg?oh=ab6c6185abe7fe1e6c14b65c19d1e2f7&oe=5AD1FBAF","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14937469_1322225667833959_2412710017169558184_n.jpg?oh=b3eb25931fe6d3c45a34ff9c92031e04&oe=5AD71CBA","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1322225667833959/?type=3","facebook.com","2016-11-08T14:01:00+0000",1478613660,"2016-11-08 15:01:00",272413,11841,310994,69966,392801,"Hillary Clinton"
"22","video","post_page_889307941125736","889307941125736_1322023997854126","https://www.facebook.com/889307941125736/posts/1322023997854126","Let’s go make some history today. hillaryclinton.com/locate","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992088_1322031144520078_2806781924167647232_n.jpg?oh=a11e22558f2dc071fb5e449c3a540bb9&oe=5A8FEFCE","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992088_1322031144520078_2806781924167647232_n.jpg?oh=ff772fae9ce95b1f2e8ae7336c58ef8f&oe=5A9A9BEC","https://www.facebook.com/hillaryclinton/videos/1322023997854126/","facebook.com","2016-11-08T13:00:00+0000",1478610000,"2016-11-08 14:00:00",64776,5466,79973,20201,105640,"Hillary Clinton"
"23","link","post_page_889307941125736","889307941125736_1321992831190576","https://www.facebook.com/889307941125736/posts/1321992831190576","It s Election Day! Millions of Americans have cast their votes for Hillary—join them and confirm where you vote: hillaryclinton.com/locate","https://external.xx.fbcdn.net/safe_image.php?d=AQC1HpnbjaDquHtW&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F11-organizing%2F18-hfa-vote%2Flocate-hfa-en-share-fb.png&cfs=1&_nc_hash=AQBiS3VFAaPO5faJ","https://external.xx.fbcdn.net/safe_image.php?d=AQBM0YTmqjy4Hsxc&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F11-organizing%2F18-hfa-vote%2Flocate-hfa-en-share-fb.png&_nc_hash=AQBhxt3ZRBuvP9cY","http://hillaryclinton.com/locate","hillaryclinton.com","2016-11-08T12:13:39+0000",1478607219,"2016-11-08 13:13:39",16624,3220,18277,1163,22660,"Hillary Clinton"
"24","link","post_page_889307941125736","889307941125736_1321929254530267","https://www.facebook.com/889307941125736/posts/1321929254530267","Es el Día de la Elección y los centros de votación están oficialmente abiertos. ¿A qué hora vas a ir a votar? Verifica dónde votar en: hillaryclinton.com/buscador","https://external.xx.fbcdn.net/safe_image.php?d=AQBFzBgE6bHwjTzd&w=130&h=130&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2F3oriNZVBL8SyK2RIgU%2Fgiphy.gif&cfs=1&_nc_hash=AQCTDFPeGFoclhsg","https://external.xx.fbcdn.net/safe_image.php?d=AQATMaPydTEWxFYJ&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2F3oriNZVBL8SyK2RIgU%2Fgiphy.gif&_nc_hash=AQDxoB3O7XKlrVLI","http://gph.is/2fjBdny","gph.is","2016-11-08T11:33:25+0000",1478604805,"2016-11-08 12:33:25",6506,1638,7329,462,9429,"Hillary Clinton"
"25","link","post_page_889307941125736","889307941125736_1321867984536394","https://www.facebook.com/889307941125736/posts/1321867984536394","It’s Election Day and polls are officially open. When will you vote today? Confirm where to go here: hillaryclinton.com/locate","https://external.xx.fbcdn.net/safe_image.php?w=130&h=130&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2Fl0MYPs0JGvnj4gBjO%2Fgiphy.gif&cfs=1&_nc_hash=AQDWJfl-IT931buy","https://external.xx.fbcdn.net/safe_image.php?d=AQAD6epnbkuZijcw&url=https%3A%2F%2Fmedia.giphy.com%2Fmedia%2Fl0MYPs0JGvnj4gBjO%2Fgiphy.gif&_nc_hash=AQANedn0LRX7sybr","http://gph.is/2fckchn","gph.is","2016-11-08T11:04:24+0000",1478603064,"2016-11-08 12:04:24",23922,15779,27599,3496,46874,"Hillary Clinton"
"26","photo","post_page_889307941125736","889307941125736_1321001354623057","https://www.facebook.com/889307941125736/posts/1321001354623057","There s no such thing as a vote that doesn t count. Today  you can make the difference.  Share this—and go vote! hillaryclinton.com/locate","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14925249_1321001354623057_1813512869484818007_n.jpg?oh=ba2eefd3c42cb3114a40ed91220257b6&oe=5AA489E9","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14925249_1321001354623057_1813512869484818007_n.jpg?oh=7ca6d93ccaf325d64ae3b583a50c5f0e&oe=5A9DD9FC","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1321001354623057/?type=3","facebook.com","2016-11-08T10:00:00+0000",1478599200,"2016-11-08 11:00:00",151381,7159,167459,23104,197722,"Hillary Clinton"
