"","X","id","texts","date1","days","from_id","owner_id","post_type","pol"
"14616",24166,677618,"#Славянск

Анонс: Представители культурной общественности Славянска встретилась за круглым столом

22 декабря в редакции интернет-ресурса ""Деловой Слаянск"" встретились ключевые представители городской общественности, занятые в сфере культуры, для того, чтобы подвести итоги года и поговорить о планах на будущее.

Источник: http://slavdelo.dn.ua/2015/12/23/anons-predstaviteli-kulturnoy-obshhestvennosti-slavyanska-vstretilas-za-kruglyim-stolom/","2015-12-23",792,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"10668",18118,8437,"Обращение ""Боевых бурят Путина"" к перепуганным жителям Укропии))","2015-07-14",630,-71345889,-71345889,"post","Separatist"
"10931",18514,636689,"#Славянск 

Переселенцам придется переходить на обслуживание Ощадбанка.","2015-07-24",640,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"10031",17180,627136,"#Славянск #Краматорск

Под Краматорском найден мертвым мужчина с 13 ножевыми ранениями

18 июня в 16.45 в дежурную часть линейного отдела на станции Славянск поступило сообщение от работников железной дороги о том, что на перегоне станций Краматорск-Дружковка на железнодорожном полотне обнаружен неизвестный мужчина без признаков жизни.

Источник: http://slavdelo.dn.ua/2015/06/22/pod-slavyanskom-nayden-mertvyim-mestnyiy-zhitel-s-13-nozhevyimi-raneniyami/","2015-06-23",609,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"7243",12233,574606,"#Славянск

ФОТОФАКТ: На улицах Славянска появились послания в адрес проукраинской активистки

На бульваре Пасова и улице Урицкого появились оскорбления в адрес одной из активисток Славянска.

Источник: http://slavinfo.dn.ua/novosti/207336","2015-01-25",460,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"7281",12282,575445,"#Славянск

Режим чрезвычайной ситуации в Донецкой и Луганской областях: что это значит

Подробнее: http://slavdelo.dn.ua/2015/01/27/rezhim-chrezvyichaynoy-situatsii-v-donetskoy-i-luganskoy-oblastyah-chto-eto-znachit/","2015-01-27",462,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"7109",12030,571065,"#Славянск

Почему в микрорайоне Артема нет воды и когда она появится

С утра в субботу жителей микрорайона Артема ждал неприятный сюрприз – отсутствие воды в водопроводных кранах. С чем это связано, рассказал главный инженер КП «Славгорводоканал» Алексей Шурко.

Источник: http://slavgorod.com.ua/News/Article/1930","2015-01-17",452,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"10382",17702,8151,"Когда кто-то сказал про Донбасс плохое","2015-07-07",623,-71345889,-71345889,"post","Separatist"
"17086",27413,702757,"Сводки преступлений в Славянске и Славянском районе за сутки на 11 марта

За прошедшие сутки в дежурную часть Славянского отделения полиции Краматорского отдела полиции ГУ Национальной полиции в Донецкой области поступило 78 сообщений, 9 из них с признаками уголовного правонарушения. Зарегистрировано 3 факта краж чужого имущества.

Источник: Славянск Деловой","2016-03-11",871,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"12605",20792,655175,"#Славянск

В Славянске провели грейдеровку 21-й улицы из заявленных 66

Подробнее: http://slavgorod.com.ua/news/article/3119/
Видео: http://s-plus.com.ua/remont-dorig-u-misti-trivaye/","2015-09-24",702,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"11874",19851,647991,"#Славянск

Милиция Славянска задержала женщину, совершившую кражу среди белого дня

Среди белого дня женщина зашла в дом к малознакомому мужчине и похитила DVD – проигрыватель и телефон. За совершение преступления 31 – летней местной жительнице грозит до 6 лет лишения свободы.

Источник: http://slavdelo.dn.ua/2015/08/28/uhodya-zakryivayte-dveri-militsiya-slavyanska-zaderzhala-zhenshhinu-sovershivshuyu-krazhu-sredi-belogo-dnya/","2015-08-28",675,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"17847",28324,709103,"#Славянск

В Славянске пройдет очередной семинар по внедрению ProZorro 

С 1 апреля на систему электронных закупок ""ProZorro"" в обязательном порядке перейдут все крупные заказчики: министерства, ведомства, крупнейшие государственные предприятия, а с августа - начнут переходить все остальные. 

Источник: http://www.6262.com.ua/news/1176236","2016-04-01",892,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"3124",5886,239973,"Реал Мадрид - Победитель лиги Чемпионов 2013 - 2014  (4:1)","2014-05-24",214,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"11823",19767,5857,"#Игра
""Трёхлитровая банка""

Правила простые: пишем предметы, которые можно поместить в трехлитровую банку! 
Каждый следующий предмет должен начинаться на ПОСЛЕДНЮЮ БУКВУ предыдущего! (при окончании слов на Ъ,ь, й, ы - пишется слово на предыдущую букву).

вишнЯ","2015-08-25",672,-97212987,-97212987,"post","Neutral or Pro-Ukrainian"
"5383",9211,525820,"#Славянск

Инфраструктура Славянска полностью восстановлена, заверяет ГосЧС

Об этом в ходе брифинга в Киеве заявил глава Государственной службы по чрезвычайным ситуациям Сергей Бочковский.

«В Славянске изначально было разминирование, тандемом шли наши энергетики, после них сразу проводились работа по восстановлению канализации, потом восстанавливалось водоснабжение. Славянск полностью восстановили и вернули жителей к нормальной жизни», - заявил Бочковский.

Источник: http://slavdelo.dn.ua/2014/09/05/infrastruktura-slavyanska-polnostyu-vosstanovlena-zaveryaet-goschs/","2014-09-05",318,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"9160",15764,614240,"#Славянск

СЗВИ: путь к цели.","2015-05-16",571,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"8651",14911,6225,"Наш ответ санкциям","2015-04-28",553,-71345889,-71345889,"post","Separatist"
"13813",22762,668073,"#Славянск

Заминирование железнодорожного вокзала в Красном Лимане не подтвердилось

В дежурную часть Краснолиманского отделения полиции Краматорского отдела полиции ГУ НП в Донецкой области поступило сообщение о заминировании железнодорожного вокзала станции Красный Лиман.

Источник: http://slavdelo.dn.ua/2015/11/18/zaminirovanie-zheleznodorozhnogo-vokzala-v-krasnom-limane-ne-podtverdilos/","2015-11-19",758,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"11336",19113,641900,"#Славянск 10.08.2015

На ближайшей сессии рассмотрят вопрос о переименовании центральной площади

10 августа, в стенах Славянского городского совета состоялась очередное заседание комиссии по вопросам декоммунизации.

Источник: http://slavgorod.com.ua/news/article/2848/","2015-08-10",657,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"10295",17567,630990,"#Славянск

Кабинет и.о. мэра Славянск Олега Зонтова.","2015-07-05",621,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"7641",12891,590199,"Опрос: Нужна ли реконструкция площади Славянска?","2015-02-23",489,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"14848",24455,680390,"Наталья Ляховская: Что с водой??? и не капает! ул Окт Революции. Горводоканал как обычно морозится","2016-01-03",803,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"15040",24689,683508,"Анонимно: Не показывают каналы интер, энтер фильм, нтн! Зелено-желтые полосы на экране! Кабельное от Трк-Олис! У кого так же? Что делать?","2016-01-11",811,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"12403",20536,653516,"#Славянск

Из 36 памятников Ленину на подконтрольной власти территории Донецкой области остались только два

Источник: http://slavdelo.dn.ua/2015/09/16/iz-36-pamyatnikov-leninu-v-donetskoy-oblasti-ostalis-tolko-dva/","2015-09-17",695,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"10697",18161,634691,"#Славянск

В Славянске появилась новая онлайн камера 

Об этом сообщает руководитель проекта Сергей Кушнарёв на своей странице в социальной сети.

""Все наслышаны в какой ситуации находится полуразрушенный дом по ул. Бульварной, 4, но не все видели. Я решил поддержать инициативу жильцов данного дома установкой камеры и включение трансляции в всемирную сеть Интернет. Кроме красивых видов нашей площади и фонтана будет доступна и одна из долгоиграющих проблем жителей нашего города для ознакомления как простых граждан, так и представителей власти не только города Славянска. Очень надеюсь, что это каким-то образом послужит стимулом для качественного решения этой сложной проблемы.

Камера доступна по этой ссылке: http://www.slavrada.gov.ua/?view=camera3

Источник: http://www.6262.com.ua/news/890120","2015-07-15",631,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"12589",20772,6795,"#классика","2015-09-23",701,-97212987,-97212987,"post","Neutral or Pro-Ukrainian"
"17625",28056,7529,"Продам недорого вещи на девочку 7-8 лет и обувь. +380994802386","2016-03-25",885,219808426,-97212987,"post","Neutral or Pro-Ukrainian"
"16184",26335,695185,"#Славянск 15.02.2016

Улицы 5 июля, Крайняя, Престижная: в горсовете Славянска утверждали новые названия улиц. СПИСОК

Названия около 40 улиц в Славянске пересматривались комиссией по декоммунизации совместно с председателями комитетов микрорайонов города сегодня, 15 февраля.

В рамках исполнения закона «Об осуждении коммунистического и национал-социалистического (нацистского) тоталитарных режимов в Украине и запрет пропаганды их символики» после двухчасовых дебатов комиссия утвердила следующие новые названия «красных улиц» Славянска:

- улица 40 лет Октября – Престижная;

- пер. Бабушкина – Сосюры;

- улица Блюхера – Филиппа Орлика;

- улица Буденного – Грушевского;

- улица Воровского – Геннадия Тимофеева;

- улица Карла Либкнехта – Святогорская;

- улица Карла Маркса – Центральная;

- улица Калинина – Учительская;

- пер. КИМа – Интернациональный;

- улица Кирова – Музейная;

- пер. Коммунаров – Торский;

- улица Комсомольская – Героев Чернобыля;

- улица Коротченко – Зоряна;

- улица Косиора – Крайняя;

- пер. Котовского (р-н Машмет) – Медицинский;

- улица Котовского – Сулимовская;

- улица Красного Казачества – Казацкая;

- улица Красной Звезды – 6 сентября;

- улица Краснофлотская – Калинова;

- улица Красный Пахарь – Селянская;

- улица Красных Командиров – Халимонова;

-улица Красных Партизанов – Партизанов;

- улица Красных Пилотов- Героев –Пилотов;

- улица Красных работниц – Спортивная;

- пер. Крупской – Елены Телиги;

- улица Луначарского- Городская;

- улица МЮД - Солеваров;

- улица Орджоникидзе – Каштановая;

- улица Профинтерна – Чернявского;

- пер. Розы Люксембург – Почтовый;

- пер. Свердлова – Вокзальный;

- улица Советская – 5 июля;

- улица Урицкого – Ярослава Мудрого;

- улица Фурманова – Алексея Яковлева;

- улица Чапаева – Вячеслава Черновола;

- улица Чубаря – Светлодарская;

- улица Шверника – Сковороды;

- улица Лазо – Лазуровая.

Поступали также предложения снова переименовать уже переименованные улицы.

Так, Юрий Оболенский, глава правления ОО «Зелена стрічка», предложил переименовать уже переименованную улицу Васильевскую на улицу Игоря Александрова - журналиста, который был убит в 2001 году.

Некоторые улицы пока не получили новых названий:

- Ленинградская;

- Смольная;

- Октябрьская;

- Энгельса;

- Якира.

Улица Правды так и остается улицей Правды.

Теперь дело за городским головой Славянска – он должен переименовать своим решением улицы, переулки и въезды, которые были предложены комиссией.

Напомним, 1 февраля в Славянске уже обсудили новые названия десяти улиц.

Источник: http://slavdelo.dn.ua/2016/02/15/ulitsyi-5-iyulya-kraynyaya-prestizhnaya-v-gorsovete-slavyanska-utverzhdali-novyie-nazvaniya-ulits-spisok/","2016-02-15",846,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"3100",5849,783,"Мобилизация в ДНР и ЛНР
РЕБЯТА НАШИ,МЫ ВАС ЛЮБИМ,ВЫ ОБЯЗАТЕЛЬНО ПОБЕДИТЕ!!","2014-05-23",213,-71345889,-71345889,"post","Separatist"
"3166",5984,252425,"#Славянск 26.05.2014

Молния над Славянском.

Фото: [id71584985|Ярослав Казаков]","2014-05-26",216,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"6019",10235,543178,"#Славянск

Славянск – состоялся ли день тишины? 

Подробнее: http://www.6262.com.ua/news/650687","2014-10-25",368,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"2469",4803,2771,"МОЛНИЯ!!!! СРОЧНО!!!
ПРЯМАЯ ОНЛАЙН-ТРАНСЛЯЦИЯ С МЕСТА СОБЫТИЙ!!!

ustream.tv/channel/newsfront -горячие online новости (ВАЖНО!): 
12-00 по Киеву - ХАРЬКОВ- митинг против киевской хунты
16-30 по Киеву - ХАРЬКОВ совместный марш с ультрас Днепр за единую Украину
19-30 (по Киеву)- ХАРЬКОВ Металлист против Днепра

ustream.tv/channel/newsfront1 - ХАРЬКОВ
ustream.tv/channel/newsfront2 - СЛАВЯНСК-ДОНЕЦК автопробег ""везем провизию"" (12-00 по Киеву)
ustream.tv/channel/newsfront3 - ЛУГАНСК - (11-00 по Киеву) 
ustream.tv/channel/newsfront4 - ДОНЕЦК - пророссийский митинг возле ОГА (12-00 по Киеву)

В случае отсутствия прямого включения смотрите репортаж на остальных наших ссылках.

Всегда свежий анонс!!!
Будь с нами!!! Подпишись на vk.com/newsfront_tv","2014-04-27",187,251570883,-62257094,"post","Separatist"
"7155",12095,4759,"19.01.15. 22:10. Сообщение от Дмитрия Стешина.

""Вернулись из Горловки, пообщались с мужчинами, женщинами и стариками, которым вчера поотрывало руки и ноги. Был и школе в нее попал ли не десяток снарядов, опять началась адская молотьба. Видел как бегают старики - до старости не забуду и не прощу.""

Сообщение от Грема Филипса.

""Эдуард Басурин в интервью рассказал, что 30 гражданских погибли в Горловке в результате Украинских обстрелов, в том числе дети! Украиснкие СМИ просто неудачники и идиоты, они не освещают такие события и воруют мои материалы. Каждый день здесь - борьба за правду, я буду бороться против украинский пропаганды!""","2015-01-19",454,-71345889,-71345889,"post","Separatist"
"12653",20858,6895,"Ставь лайк, если спортсмен(ка). Посмотрим сколько нас на этот раз ??","2015-09-25",703,-97212987,-97212987,"post","Neutral or Pro-Ukrainian"
"4007",7179,420639,"#Славянск 

Фотографии с Щуровских баз Юность-1, Юность-2, Березовая роща, Алмаз:","2014-07-04",255,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"17909",28405,709755,"#Славянск

Новый канал в кабельных сетях Славянска

В кабельных сетях Славянска появился новый канал Gamma. В программе этого канала, обозначенного буквой G в правом углу экрана, художественные фильмы, кулинарные и другие развлекательные программы. В настоящее время в нем отсутствует реклама и новости. 

Источник: http://slavdelo.dn.ua/2016/04/03/novyiy-kanal-v-kabelnyih-setyah-slavyanska/","2016-04-03",894,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"5215",8939,518762,"#Славянск

Отдам малыша в добрые руки!
1 месяц, мальчик. Здоровенький, будет хорошей сторожевой.
Обращаться по тел. 0958834593 Елизавета","2014-08-24",306,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"2113",4213,45345,"ВНИМАНИЕ! Второй этап конкурса Мистер группы [club43636290|г. Славянск - лучший город!]

Теперь все в ваших руках! 

На первом этапе выполнили все требования 22 участника, они разбиты на 3 полуфинала. На каждый полуфинал выделяется по 3 дня. 

Сегодня  начинаем первый полуфинал из 8 участников которые представлены ниже, за которых вы можете голосовать прямо сейчас!
В финал пройдет 3 участника которые наберут наибольшее количество голосов.

Окончание первого полуфинала: 10 апреля в 17:00

Старт второго полуфинала: 10 апреля в 18:00

Старт финала: 17 апреля в 17:00

Спонсоры конкурса: 
[club21248804|TALER г.Славянск], [club50930633|ИГРОВОЙ КЛУБ ""JUST"" г.Славянск], [club67500070|КРК ""Сапфир""].

P.S в случае равенства голосов - проводиться дополнительное голосование на стене группы (2 часа)

Всем удачи!","2014-04-07",167,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"2828",5375,131,"ну...не в тему...просто чтоб улыбнулись;)","2014-05-15",205,-71345889,-71345889,"post","Separatist"
"4512",7842,479958,"#Славянск

Каждый день жизнь даёт нам тысячи разных возможностей: возможность измениться, возможность начать всё сначала или возможность проявить себя с другой стороны и открыть новые таланты. 

Главное — не упускать эти возможности, ведь может получиться так, что второго шанса судьба не даст.","2014-07-19",270,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"15224",24938,685019,"[id150307460|Надежда Новак]: Очень нужна помощь инвалиду 1-й группы! Нужно порубить дрова. Недорого!","2016-01-16",816,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"3049",5762,223903,"#Славянск 

Видео: [id181230919|Влад Задачин]","2014-05-22",212,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"14013",23066,671132,"#Славянск 

Руководство Славянской РГА посетило районную школу искусств

27 ноября в рамках рабочей поездки руководство райгосадминистрации посетило районную школу искусств, которая расположена в пгт Былбасовка.

Источник: http://slavdelo.dn.ua/2015/11/28/kerivnitstvo-slov-yanskoyi-rda-vidvidalo-rayonnu-shkolu-mistetstv/","2015-11-29",768,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"12765",21018,656656,"#Славянск

""Слов'янська Січ"" контролирует процессы сдачи в аренду коммунального имущества.","2015-09-30",708,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"3603",6618,367884,"#Славянск #Семеновка","2014-06-17",238,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"1800",3643,1695,"Германия. Голос разума!!","2014-03-18",147,12261952,-62257094,"post","Separatist"
"660",1450,28676,"Славянцам покажут новую спецтехнику

Городской голова Неля Штепа сообщила, что в скором времени в Славянск прибудут обещанные в прошлом году три единицы спецтехники — гидро- и илососная машины для прочистки канализационных колодцев и трубопроводов, а также ассенизационная бочка.

http://tvplus.dn.ua/pg/news/7/full/id=11555;","2014-01-10",80,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"5542",9444,530835,"#Славянск

Отопление: фольгу — за батареи и на окна

«Первым делом, покрасьте стены квартиры в белый цвет. Все гениальное просто  — белая стена отражает около 80%  лучей. Для сравнения: стена темно-зеленого цвета отражает  лишь 15%  света, а черная  — 9%.  Не пренебрегайте естественным освещением!» — говорит бывшая славянка, а ныне жительница дождливого Лондона Мария Трейси.

Источник: http://tvplus.dn.ua/pg/news/9/full/id=13020;","2014-09-18",331,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"13113",21498,659932,"#Славянск 16.10.2015

Долго собирались – быстро разошлись. Фоторепортаж последней сессии горсовета Славянска

Сегодня, 16 октября, в большом зале Славянского городского совета состоялась, возможно, последняя сессия 6 созыва.

Источник: http://slavdelo.dn.ua/2015/10/16/dolgo-sobiralis-byistro-razoshlis-fotoreportazh-posledney-sessii-gorsoveta/","2015-10-16",724,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"9569",16520,7432,"Впечатляющее зрелище над Ялтой - облачный медведь","2015-06-04",590,-71345889,-71345889,"post","Separatist"
"17260",27624,704026,"Общественные организации предлагают обсудить покупку ДК им. Ленина

24 февраля 2016 г. на внеочередной сессии городского совета было принято решение выделить из городского бюджета на покупку ДК им. Ленина 5 млн. грн. из городского бюджета. Этот вопрос, перед тем как выноситься на сессию обговаривался на депутатских комиссиях и возражений не вызывал.

Источник: Газета Объявлений","2016-03-15",875,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"8259",13960,601875,"#Славянск

Отдел РАГС Славянска информирует

Отдел РАГС в Славянске сообщает о том, что за период с 30 марта по 4 апреля 2015 года отделом РАГС г. Славянска было зарегистрировано:

29 рождений,
109 смертей,
7 браков,
3 развода.

По информации отдела государственной регистрации актов гражданского состояния по г. Славянску

Источник: http://slavdelo.dn.ua/2015/04/08/otdel-rags-slavyanska-soobshhaet-2/","2015-04-08",533,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"2030",4082,44432,"Потерь воды стало меньше на 3 тысячи «кубов»

Начиная с прошлой недели, микрорайон Машмет получает воду по новой водопроводной линии. Старый неисправный водовод выведен из эксплуатации.

http://tvplus.dn.ua/pg/news/7/full/id=12037;","2014-04-02",162,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"158",267,411,"Готовимся ЗАРАНЕЕ!)","2013-11-13",22,218675955,-12892157,"post","Neutral or Pro-Ukrainian"
"15791",25836,690909,"Анонимно: Кто лечил зубы у стоматолога в женской консультации? Интересует цена и качество! Спасибо.","2016-02-02",833,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
"11268",19004,640994,"#Славянск 06.08.2015

Славянск будет с водой! Водолазы с пятой попытки устранили аварию

Сегодня 6 августа ровно в 12.00 в Славянске была устранена авария на центральном водоводе №9 - к концу рабочего дня центру города быть с водой!

Источник: http://slavdelo.dn.ua/2015/08/06/slavyansk-budet-s-vodoy-vodolazyi-s-pyatoy-popyitki-ustranili-avariyu/","2015-08-06",653,-43636290,-43636290,"post","Neutral or Pro-Ukrainian"
